"lon","lat","dt"
-125.810797064257,29.7935249136797,2005-08-03
-125.582105690757,29.7935249136797,2005-09-27
-125.353414317256,29.7935249136797,2005-09-27
-125.124722943756,29.7935249136797,2005-08-12
-124.896031570255,29.7935249136797,2005-10-22
-124.667340196754,29.7935249136797,2005-11-14
-124.438648823254,29.7935249136797,2005-11-20
-124.209957449753,29.7935249136797,2005-09-05
-123.981266076253,29.7935249136797,2005-08-11
-123.752574702752,29.7935249136797,2005-10-01
-123.523883329251,29.7935249136797,2005-09-01
-123.295191955751,29.7935249136797,2005-08-20
-123.06650058225,29.7935249136797,2005-08-08
-122.83780920875,29.7935249136797,2005-11-09
-122.609117835249,29.7935249136797,2005-10-02
-122.380426461748,29.7935249136797,2005-09-11
-122.151735088248,29.7935249136797,2005-10-09
-121.923043714747,29.7935249136797,2005-08-29
-121.694352341247,29.7935249136797,2005-08-13
-121.465660967746,29.7935249136797,2005-09-14
-121.236969594246,29.7935249136797,2005-09-14
-121.008278220745,29.7935249136797,2005-11-09
-120.779586847244,29.7935249136797,2005-11-14
-120.550895473744,29.7935249136797,2005-11-08
-120.322204100243,29.7935249136797,2005-11-27
-120.093512726743,29.7935249136797,2005-08-05
-119.864821353242,29.7935249136797,2005-08-21
-119.636129979741,29.7935249136797,2005-10-09
-119.407438606241,29.7935249136797,2005-11-29
-119.17874723274,29.7935249136797,2005-08-05
-118.95005585924,29.7935249136797,2005-11-11
-118.721364485739,29.7935249136797,2005-08-27
-118.492673112238,29.7935249136797,2005-11-27
-118.263981738738,29.7935249136797,2005-11-05
-118.035290365237,29.7935249136797,2005-09-01
-117.806598991737,29.7935249136797,2005-08-21
-117.577907618236,29.7935249136797,2005-10-13
-117.349216244736,29.7935249136797,2005-09-20
-117.120524871235,29.7935249136797,2005-11-20
-116.891833497734,29.7935249136797,2005-09-30
-116.663142124234,29.7935249136797,2005-09-05
-116.434450750733,29.7935249136797,2005-10-03
-116.205759377233,29.7935249136797,2005-08-28
-115.977068003732,29.7935249136797,2005-08-31
-115.748376630231,29.7935249136797,2005-10-28
-126.039488437758,30.0222162871803,2005-08-29
-125.810797064257,30.0222162871803,2005-10-18
-125.582105690757,30.0222162871803,2005-09-16
-125.353414317256,30.0222162871803,2005-09-02
-125.124722943756,30.0222162871803,2005-10-24
-124.896031570255,30.0222162871803,2005-11-17
-124.667340196754,30.0222162871803,2005-08-22
-124.438648823254,30.0222162871803,2005-09-21
-124.209957449753,30.0222162871803,2005-08-31
-123.981266076253,30.0222162871803,2005-09-02
-123.752574702752,30.0222162871803,2005-10-08
-123.523883329251,30.0222162871803,2005-10-16
-123.295191955751,30.0222162871803,2005-09-21
-123.06650058225,30.0222162871803,2005-10-21
-122.83780920875,30.0222162871803,2005-10-09
-122.609117835249,30.0222162871803,2005-08-14
-122.380426461748,30.0222162871803,2005-08-14
-122.151735088248,30.0222162871803,2005-10-06
-121.923043714747,30.0222162871803,2005-08-22
-121.694352341247,30.0222162871803,2005-09-20
-121.465660967746,30.0222162871803,2005-08-25
-121.236969594246,30.0222162871803,2005-08-20
-121.008278220745,30.0222162871803,2005-08-03
-120.779586847244,30.0222162871803,2005-08-12
-120.550895473744,30.0222162871803,2005-11-03
-120.322204100243,30.0222162871803,2005-09-21
-120.093512726743,30.0222162871803,2005-09-19
-119.864821353242,30.0222162871803,2005-10-05
-119.636129979741,30.0222162871803,2005-10-25
-119.407438606241,30.0222162871803,2005-11-16
-119.17874723274,30.0222162871803,2005-09-15
-118.95005585924,30.0222162871803,2005-09-18
-118.721364485739,30.0222162871803,2005-08-13
-118.492673112238,30.0222162871803,2005-08-01
-118.263981738738,30.0222162871803,2005-08-12
-118.035290365237,30.0222162871803,2005-10-06
-117.806598991737,30.0222162871803,2005-08-01
-117.577907618236,30.0222162871803,2005-08-02
-117.349216244736,30.0222162871803,2005-11-29
-117.120524871235,30.0222162871803,2005-10-07
-116.891833497734,30.0222162871803,2005-09-25
-116.663142124234,30.0222162871803,2005-08-31
-116.434450750733,30.0222162871803,2005-09-08
-116.205759377233,30.0222162871803,2005-10-31
-115.977068003732,30.0222162871803,2005-09-03
-126.268179811258,30.2509076606809,2005-08-29
-126.039488437758,30.2509076606809,2005-11-24
-125.810797064257,30.2509076606809,2005-10-17
-125.582105690757,30.2509076606809,2005-09-20
-125.353414317256,30.2509076606809,2005-11-16
-125.124722943756,30.2509076606809,2005-09-14
-124.896031570255,30.2509076606809,2005-11-11
-124.667340196754,30.2509076606809,2005-08-20
-124.438648823254,30.2509076606809,2005-11-28
-124.209957449753,30.2509076606809,2005-08-01
-123.981266076253,30.2509076606809,2005-08-17
-123.752574702752,30.2509076606809,2005-09-29
-123.523883329251,30.2509076606809,2005-08-29
-123.295191955751,30.2509076606809,2005-10-20
-123.06650058225,30.2509076606809,2005-10-17
-122.83780920875,30.2509076606809,2005-09-23
-122.609117835249,30.2509076606809,2005-08-10
-122.380426461748,30.2509076606809,2005-09-10
-122.151735088248,30.2509076606809,2005-09-04
-121.923043714747,30.2509076606809,2005-09-03
-121.694352341247,30.2509076606809,2005-09-24
-121.465660967746,30.2509076606809,2005-11-01
-121.236969594246,30.2509076606809,2005-10-05
-121.008278220745,30.2509076606809,2005-08-12
-120.779586847244,30.2509076606809,2005-11-19
-120.550895473744,30.2509076606809,2005-10-19
-120.322204100243,30.2509076606809,2005-09-09
-120.093512726743,30.2509076606809,2005-10-09
-119.864821353242,30.2509076606809,2005-10-24
-119.636129979741,30.2509076606809,2005-09-14
-119.407438606241,30.2509076606809,2005-08-31
-119.17874723274,30.2509076606809,2005-09-08
-118.95005585924,30.2509076606809,2005-09-18
-118.721364485739,30.2509076606809,2005-08-25
-118.492673112238,30.2509076606809,2005-08-06
-118.263981738738,30.2509076606809,2005-11-05
-118.035290365237,30.2509076606809,2005-10-05
-117.806598991737,30.2509076606809,2005-09-17
-117.577907618236,30.2509076606809,2005-08-05
-117.349216244736,30.2509076606809,2005-09-28
-117.120524871235,30.2509076606809,2005-08-30
-116.891833497734,30.2509076606809,2005-09-05
-116.663142124234,30.2509076606809,2005-11-09
-116.434450750733,30.2509076606809,2005-10-16
-116.205759377233,30.2509076606809,2005-09-30
-115.977068003732,30.2509076606809,2005-10-28
-126.496871184759,30.4795990341815,2005-11-14
-126.268179811258,30.4795990341815,2005-08-21
-126.039488437758,30.4795990341815,2005-10-21
-125.810797064257,30.4795990341815,2005-08-30
-125.582105690757,30.4795990341815,2005-08-17
